

sales-summary-2026-09-01.csv

"Sales summary - Summary
All day (12:00 AM-11:59 PM Melbourne Time)"," "
"Product sales","$1.00"
"Items","$1.00"
"Gross service charges","$0.00"
"Returns","$0.00"
"Discounts & comps","$0.00"
"Net sales","$1.00"
"Deferred sales","$0.00"
"Gift card sales","$0.00"
"Taxes","$0.00"
"Gross sales","$1.00"
"Tips","$0.00"
"Total sales","$1.00"
"Total payments collected","$1.00"
"Cash","$1.00"
"Fees","$0.00"
"Net total","$1.00"
"Total number of sales","1"
"Sales transactions","1"
"Item sales transactions","1"
"Service charges transactions","0"
"Itemized returns transactions","0"
"Discounts transactions","0"
"Comps transactions","0"
"Gift card sales transactions","0"
"Taxes transactions","0"
"Tips transactions","0"
"Total sales transactions","1"
"Total payments collected transactions","1"

